"ブラッドビースト",1,"2024-10-21 16:53:44"
"ジャイアントゴーレム",5,"2024-10-21 16:55:54"
"ストーンタートル",1,"2024-10-21 16:55:55"
"カオスウィッチ",4,"2024-10-21 16:55:59"
"グリムウォーリアー",1,"2024-10-21 16:56:39"
"レッドオーク",2,"2024-10-21 16:56:53"
"オーガ",1,"2024-10-21 17:03:39"
"ヘルスピリット",5,"2024-10-21 17:13:23"
"ブラッドスカーレット",1,"2024-10-21 17:15:10"
"ホーンデビル",3,"2024-10-21 17:48:54"
"ロードオブダークネス",5,"2024-10-21 17:49:17"
"ダークエルフ",2,"2024-10-21 17:49:40"
"ヘルファイター",2,"2024-10-21 17:49:48"
"ゴールドデーモン",2,"2024-10-21 17:50:22"
"ヘルファイター",2,"2024-10-21 17:51:41"
"ストーンタートル",1,"2024-10-21 17:51:51"
"ディープワン",1,"2024-10-21 17:52:39"
"ストームリーダー",3,"2024-10-21 17:52:46"
"ラミア",1,"2024-10-21 17:54:19"
"ウィッチ",1,"2024-10-21 18:11:35"
"デスナイト",5,"2024-10-21 18:55:35"
"スフィンクス",1,"2024-10-22 10:18:16"
